features,model,accuracy,error
"('chroma', 'spectral_contrast', 'centroid')",Dense NN,0.8110831379890442,
"('spectral_contrast', 'centroid', 'rms_energy')",CNN,0.8110831379890442,
"('mfccs', 'rolloff', 'rms_energy')",LSTM,0.8110831379890442,
"('spectral_contrast',)",CNN,0.8110831379890442,
"('mfccs', 'chroma', 'rolloff', 'centroid')",LSTM,0.8110831379890442,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.8110831379890442,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Dense NN,0.8110831379890442,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid')",LSTM,0.8110831379890442,
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8110831379890442,
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid')",LSTM,0.8110831379890442,
"('mfccs', 'centroid')",LSTM,0.8110831379890442,
"('spectral_contrast', 'rolloff')",LSTM,0.8110831379890442,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",LSTM,0.8110831379890442,
"('spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8110831379890442,
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'rolloff')",CNN,0.8085642457008362,
"('mfccs', 'zcr', 'rolloff', 'centroid')",CNN,0.8085642457008362,
"('mfccs', 'chroma', 'rolloff')",Dense NN,0.8085642457008362,
"('spectral_contrast', 'rolloff', 'centroid')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8085642457008362,
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",Dense NN,0.8085642457008362,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'centroid', 'rms_energy')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'centroid', 'rms_energy')",CNN,0.8085642457008362,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff')",LSTM,0.8085642457008362,
"('chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",CNN,0.8085642457008362,
"('spectral_contrast', 'rms_energy')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid')",LSTM,0.8085642457008362,
"('mfccs', 'chroma', 'rolloff', 'centroid')",CNN,0.8085642457008362,
"('spectral_contrast', 'zcr', 'rolloff')",LSTM,0.8085642457008362,
"('spectral_contrast', 'centroid')",Dense NN,0.8085642457008362,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",LSTM,0.8085642457008362,
"('chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Dense NN,0.8060453534126282,
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8060453534126282,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rms_energy')",LSTM,0.8060453534126282,
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8060453534126282,
"('mfccs', 'zcr')",CNN,0.8060453534126282,
"('chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Dense NN,0.8060453534126282,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",LSTM,0.8060453534126282,
"('spectral_contrast',)",LSTM,0.8060453534126282,
"('mfccs', 'chroma', 'spectral_contrast')",LSTM,0.8035264611244202,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid')",Dense NN,0.8035264611244202,
"('mfccs', 'rms_energy')",CNN,0.8035264611244202,
"('mfccs', 'chroma', 'rolloff', 'centroid')",Dense NN,0.8035264611244202,
"('mfccs', 'chroma', 'zcr')",CNN,0.8035264611244202,
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",CNN,0.8035264611244202,
"('spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",LSTM,0.8035264611244202,
