features,model,accuracy
"('mfccs', 'centroid', 'rms_energy')",Random Forest,0.8463476070528967
"('mfccs', 'rolloff', 'rms_energy')",Random Forest,0.8463476070528967
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8438287153652393
"('mfccs', 'chroma', 'zcr', 'rms_energy')",Random Forest,0.8438287153652393
"('mfccs', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8438287153652393
"('chroma', 'spectral_contrast', 'centroid')",Logistic Regression,0.8438287153652393
"('mfccs', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8438287153652393
"('chroma', 'spectral_contrast', 'rolloff')",Logistic Regression,0.8438287153652393
"('mfccs', 'chroma')",Logistic Regression,0.8438287153652393
"('spectral_contrast', 'zcr', 'rms_energy')",SVM,0.8438287153652393
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8438287153652393
"('chroma', 'spectral_contrast', 'zcr', 'rolloff')",Logistic Regression,0.8413098236775819
"('mfccs', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.8413098236775819
"('mfccs', 'chroma', 'zcr', 'rms_energy')",Logistic Regression,0.8413098236775819
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8413098236775819
"('spectral_contrast', 'rms_energy')",Logistic Regression,0.8413098236775819
"('mfccs', 'chroma', 'rolloff', 'centroid')",Logistic Regression,0.8413098236775819
"('mfccs', 'rolloff', 'centroid')",Logistic Regression,0.8413098236775819
"('mfccs', 'chroma', 'rms_energy')",Logistic Regression,0.8413098236775819
"('mfccs', 'zcr', 'rms_energy')",Logistic Regression,0.8413098236775819
"('spectral_contrast', 'zcr', 'centroid')",Logistic Regression,0.8387909319899244
"('mfccs', 'chroma', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.8387909319899244
"('spectral_contrast', 'zcr', 'rms_energy')",Logistic Regression,0.8387909319899244
"('spectral_contrast', 'zcr')",Logistic Regression,0.8387909319899244
"('mfccs', 'rolloff')",Logistic Regression,0.8387909319899244
"('spectral_contrast', 'centroid')",Logistic Regression,0.8387909319899244
"('spectral_contrast',)",Logistic Regression,0.8387909319899244
"('mfccs', 'chroma', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.836272040302267
"('mfccs', 'rolloff', 'rms_energy')",Logistic Regression,0.836272040302267
"('mfccs', 'chroma', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.836272040302267
"('spectral_contrast', 'centroid', 'rms_energy')",Logistic Regression,0.836272040302267
"('spectral_contrast', 'rolloff', 'rms_energy')",Logistic Regression,0.836272040302267
"('spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.836272040302267
"('mfccs',)",Logistic Regression,0.836272040302267
"('mfccs', 'chroma', 'zcr')",Logistic Regression,0.836272040302267
"('mfccs', 'chroma', 'centroid', 'rms_energy')",Logistic Regression,0.8337531486146096
"('mfccs', 'centroid', 'rms_energy')",Logistic Regression,0.8337531486146096
"('mfccs', 'zcr', 'rolloff')",Logistic Regression,0.8337531486146096
"('mfccs', 'rms_energy')",Logistic Regression,0.8337531486146096
"('mfccs', 'chroma', 'rolloff', 'rms_energy')",Logistic Regression,0.8337531486146096
"('spectral_contrast', 'rolloff')",Logistic Regression,0.8337531486146096
"('mfccs', 'chroma', 'zcr', 'rolloff')",Logistic Regression,0.8337531486146096
"('mfccs', 'zcr')",Logistic Regression,0.8337531486146096
"('mfccs', 'chroma', 'rolloff')",Logistic Regression,0.8312342569269522
"('mfccs', 'zcr', 'centroid')",Logistic Regression,0.8312342569269522
"('mfccs', 'centroid')",Logistic Regression,0.8312342569269522
"('mfccs', 'chroma', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.8312342569269522
